M,K,N,Command,Instructions,L1 Cache Misses,L2 Cache Misses,L3 Cache Misses,Elapsed Time
32,256,100,pool_blis,34045090,956488,902370,36813,0.041810559
32,256,100,pthread_blis,31560590,86582,39761,10507,0.011378389
32,256,100,para_blis,48006150,68994,5216,835,0.017540037
32,256,128,blis,4873955,15698,7330,<not,0.002452336
32,256,128,pool_blis,41510472,1126368,1071080,48562,0.049724196
32,256,128,pthread_blis,37871023,97850,42382,18223,0.013563769
32,256,128,para_blis,56733928,83892,5276,1408,0.021262124
32,256,150,blis,5558075,17210,7869,<not,0.002575711
32,256,150,pool_blis,47525188,1295042,1222793,72802,0.056582125
32,256,150,pthread_blis,43339051,110868,47552,12392,0.015309113
32,256,150,para_blis,64919565,93854,5181,1021,0.024210126
32,256,170,blis,6195943,18388,7862,<not,0.002866519
32,256,170,pool_blis,54879411,1392060,1316120,61612,0.060826323
32,256,170,pthread_blis,48440049,120786,51889,20677,0.016906951
32,256,170,para_blis,71926149,104132,4895,863,0.026379615
32,256,200,blis,7038908,20528,9011,<not,0.003106380
32,256,200,pool_blis,63588420,1563137,1501974,83118,0.070400056
32,256,200,pthread_blis,55179910,132746,53167,16260,0.019548941
32,256,200,para_blis,82559347,118502,6103,237,0.030059904
32,256,220,blis,7693293,22206,9371,<not,0.003341018
32,256,220,pool_blis,68485058,1803269,1693467,88400,0.079217929
32,256,220,pthread_blis,60413322,146290,58474,33943,0.020940548
32,256,220,para_blis,89667471,128480,6011,255,0.032728670
32,256,256,blis,8722536,24762,9734,0,0.003845074
